Title,Price,Depreciation/Yr,Registration Date,Engine Capacity,Mileage/Km,Vehicle Type
Audi A3 Sportback 1.0A TFSI S-tronic,"$98,500","$16,390 /yr",24-Apr-2019,999 cc,"52,000 km",Hatchback
Honda Civic 1.5A VTEC Turbo Sunroof,"$62,000","$18,160 /yr",30-Sep-2016,"1,498 cc","126,888 km",Sedan
Lexus IS250 (COE till 02/2029),"$73,000","$14,080 /yr",17-Jul-2009,"2,500 cc","186,800 km",Luxury
Mercedes-Benz A-Class A180 Style,"$79,800","$18,500 /yr",06-Oct-2017,"1,595 cc","107,000 km",Hatchback
Mercedes-Benz EQS Electric EQS450+ AMG Line,"$515,500","$49,530 /yr",30-Nov-2022,-,"3,800 km",Luxury
BMW 5 Series ActiveHybrid 5 Sunroof (COE till 10/2031),"$130,000","$16,540 /yr",29-Dec-2012,"2,979 cc","120,000 km",Luxury
Mazda 6 2.0A Executive,"$72,800","$15,130 /yr",08-Jan-2018,"1,998 cc","85,105 km",Luxury
BMW X1 sDrive18i,"$122,222","$17,810 /yr",29-Aug-2019,"1,499 cc","61,000 km",SUV
Toyota Hiace 2.0A DX,"$88,888","$10,870 /yr",26-Feb-2022,"1,998 cc",-,Van
Audi RS 3 Sportback 2.5A TFSI Quattro (COE till 04/2033),"$151,800","$16,220 /yr",30-Aug-2013,"2,480 cc","122,000 km",Sports
BMW X7 xDrive40i Pure Excellence 7-Seater,"$318,800","$42,210 /yr",23-Sep-2019,"2,998 cc","76,297 km",SUV
BMW i4 Gran Coupe Electric eDrive35,"$279,800","$27,330 /yr",04-Jul-2023,-,"3,508 km",Luxury
Porsche 911 Carrera GTS Coupe 3.8A PDK (COE till 04/2031),"$325,000","$44,200 /yr",16-Dec-2011,"3,800 cc","95,800 km",Sports
BMW 2 Series 216i Gran Tourer M-Sport,"$103,000","$18,630 /yr",28-Jun-2018,"1,499 cc","88,000 km",MPV
BMW Z4 sDrive20i (COE till 11/2031),"$120,000","$15,110 /yr",30-Mar-2012,"1,997 cc","150,000 km",Sports
BMW 3 Series 316i,"$36,000","$19,520 /yr",30-Apr-2015,"1,598 cc","135,000 km",Luxury
Toyota Alphard 2.5A Elegance Moonroof,"$175,000","$33,060 /yr",16-May-2018,"2,494 cc","147,000 km",MPV
Honda Jade 1.5A RS,"$84,800","$16,060 /yr",19-Apr-2018,"1,496 cc","71,034 km",MPV
Mercedes-Benz CLA-Class CLA180 Progressive Sunroof,"$208,800","$20,570 /yr",01-Feb-2023,"1,332 cc","12,000 km",Luxury
Subaru Forester 2.0i-S EyeSight Sunroof,"$112,000","$18,250 /yr",16-Aug-2019,"1,995 cc","65,000 km",SUV
Honda N-Van Turbo Style Fun Honda Sensing,"$87,800","$9,010 /yr",18-Sep-2023,658 cc,-,Van
Subaru Forester 2.0i-S EyeSight Sunroof,"$109,800","$17,740 /yr",30-Aug-2019,"1,995 cc","53,000 km",SUV
Toyota Alphard 2.5A S C-Package,"$168,800","$30,710 /yr",13-Jul-2018,"2,493 cc","79,700 km",MPV
Mitsubishi Fuso Canter FEA01,"$45,800","$13,280 /yr",06-Jun-2017,"2,998 cc",-,Truck
Porsche Macan 2.0A PDK,"$299,800",N.A,15-Jun-2022,"1,984 cc","34,000 km",SUV
Suzuki Spacia Base GF,"$80,800","$8,800 /yr",28-Feb-2023,658 cc,290 km,Van
Nissan Note 1.2A,"$67,800","$12,790 /yr",30-Jan-2019,"1,198 cc","57,300 km",Hatchback
SEAT Arona 1.0A EcoTSI Style (OPC),"$66,800","$11,420 /yr",31-May-2019,999 cc,"60,000 km",SUV
Citroen e-Berlingo Electric,"$106,800","$11,530 /yr",27-Mar-2023,-,-,Van
Fiat Fiorino Cargo 1.3MTA Multijet Glaze,"$25,800","$7,440 /yr",12-Jun-2017,"1,248 cc","78,564 km",Van
BMW 6 Series 630i Gran Turismo Mild Hybrid M-Sport Sunroof,"$328,800","$28,630 /yr",28-Jun-2023,"1,998 cc","6,000 km",Luxury
BMW 3 Series 318i Sport Shadow Edition,"$85,800","$17,830 /yr",20-Oct-2017,"1,499 cc","69,294 km",Luxury
Mercedes-Benz GLB-Class GLB180 Progressive,"$205,800","$21,610 /yr",30-Jun-2022,"1,332 cc","16,000 km",SUV
Toyota RegiusAce 2.8A DX,"$74,800","$15,240 /yr",20-Nov-2018,"2,754 cc",-,Van
Nissan NV200 1.6A,"$26,800","$13,660 /yr",10-Dec-2015,"1,597 cc","131,900 km",Van
BMW X3 sDrive20i xLine,"$218,800","$25,570 /yr",15-Jun-2021,"1,998 cc","15,000 km",SUV
Mercedes-Benz C-Class C180 Mild Hybrid AMG Line,"$230,800","$23,470 /yr",14-Oct-2022,"1,496 cc","29,500 km",Luxury
Mercedes-Benz C-Class C180 Mild Hybrid AMG Line,"$215,800","$23,120 /yr",30-Mar-2022,"1,496 cc","25,000 km",Luxury
Mazda 3 1.5A Deluxe Sunroof,"$35,900","$15,340 /yr",26-Nov-2015,"1,496 cc","137,000 km",Sedan
Lexus ES250 Luxury Sunroof,"$84,800","$21,080 /yr",01-Nov-2016,"2,494 cc","137,000 km",Luxury
Subaru Forester 2.0i-L Sunroof,"$51,800","$16,630 /yr",10-Aug-2016,"1,995 cc","114,000 km",SUV
Toyota Hiace Commuter 2.8A GL,"$109,800","$22,600 /yr",01-Nov-2018,"2,754 cc",-,Bus
BMW 7 Series 740i Sunroof (COE till 04/2029),"$80,800","$15,090 /yr",16-Oct-2009,"2,979 cc","138,000 km",Luxury
Toyota Prius Plus Hybrid 1.8A,"$99,800","$19,330 /yr",09-Jul-2018,"1,798 cc","87,000 km",MPV
Honda Freed Hybrid 1.5A G 7-Seater Honda Sensing,"$95,800","$18,580 /yr",24-Aug-2018,"1,496 cc","83,000 km",MPV
Kia Cerato K3 1.6A,"$58,900","$13,710 /yr",24-Oct-2017,"1,591 cc","120,000 km",Sedan
Isuzu NPR85,"$126,500","$13,280 /yr",03-Jul-2023,"2,999 cc",-,Truck
BMW 4 Series 435i Gran Coupe M-Sport Sunroof,"$88,800","$29,350 /yr",28-Sep-2015,"2,979 cc","99,850 km",Luxury
Hino XZU710R,"$122,800","$13,800 /yr",15-Nov-2022,"4,009 cc",-,Truck
Renault Megane GT-Line Diesel 1.5A dCi,"$48,880","$14,220 /yr",20-Mar-2017,"1,461 cc","100,500 km",Hatchback
Kia Picanto 1.1M (COE till 10/2028),"$44,500","$9,220 /yr",21-Oct-2008,"1,086 cc",-,Hatchback
Honda N-Van Turbo Style Fun Honda Sensing,"$74,800","$8,800 /yr",24-Jun-2022,658 cc,"22,500 km",Van
BMW 2 Series 216i Gran Coupe Sport,"$165,800","$17,770 /yr",18-Aug-2022,"1,499 cc","17,000 km",Luxury
Mercedes-Benz CLA-Class CLA180 AMG Line Sunroof,"$163,600","$20,860 /yr",20-Aug-2020,"1,332 cc","34,000 km",Luxury
BMW X3 sDrive20i M-Sport,"$212,800","$24,610 /yr",23-Jun-2021,"1,998 cc","46,000 km",SUV
Toyota Wish 1.8A X,"$72,988","$16,020 /yr",30-Nov-2017,"1,798 cc","89,000 km",MPV
Toyota Sienta Hybrid 1.5A X,"$127,800","$15,710 /yr",29-Sep-2021,"1,496 cc","36,600 km",MPV
Toyota Noah Hybrid 1.8A X,"$139,800","$23,420 /yr",13-May-2019,"1,797 cc","72,000 km",MPV
Jaguar E-PACE 2.0A Prestige,"$128,800","$19,690 /yr",30-Aug-2019,"1,997 cc","95,000 km",SUV
Volkswagen Golf 1.4A TSI Comfortline,"$95,888","$14,510 /yr",27-Nov-2019,"1,395 cc","66,000 km",Hatchback
Honda Vezel 1.5A X,"$47,800","$15,410 /yr",13-Sep-2016,"1,496 cc","70,000 km",SUV
Hyundai TL Tucson 2.0A GLS,"$47,888","$16,530 /yr",26-Apr-2016,"1,999 cc","80,000 km",SUV
Mazda 3 1.5A Sunroof,"$53,800","$12,970 /yr",27-Sep-2017,"1,496 cc",-,Sedan
Honda Jazz 1.5A RS,"$49,888","$16,630 /yr",08-Aug-2016,"1,498 cc","115,000 km",Hatchback
Mazda 8 2.3A Sunroof,"$25,900","$16,800 /yr",16-Oct-2014,"2,261 cc","152,000 km",MPV
Mercedes-Benz B-Class B200 (COE till 08/2032),"$98,800","$11,370 /yr",25-Oct-2012,"1,595 cc","128,500 km",Hatchback
Citroen Berlingo 1.6A BlueHDi,"$37,800","$8,950 /yr",14-Mar-2018,"1,560 cc","88,200 km",Van
Perodua Kenari 1.0A EZ (COE till 11/2027),"$38,900","$9,880 /yr",14-Jan-2008,989 cc,"118,000 km",Hatchback
Nissan X-Trail 2.0A 7-Seater Sunroof,"$55,800","$18,090 /yr",31-May-2016,"1,997 cc","81,200 km",SUV
Nissan Note 1.2A,"$52,688","$11,130 /yr",27-Jun-2018,"1,198 cc","74,000 km",Hatchback
BMW 5 Series 523i (COE till 06/2030),"$83,800","$12,860 /yr",30-Jun-2010,"2,497 cc","199,000 km",Luxury
Toyota Alphard 2.5A S C-Package Moonroof,"$165,800","$34,610 /yr",26-Dec-2017,"2,493 cc","72,000 km",MPV
Hyundai i30 1.4A T-GDi DCT Turbo,"$67,800","$14,770 /yr",24-Apr-2018,"1,353 cc",-,Hatchback
Citroen C4 Picasso Diesel 1.6A BlueHDi,"$53,500","$13,560 /yr",31-Aug-2017,"1,560 cc","100,200 km",Hatchback
Mercedes-Benz C-Class C200 Mild Hybrid Avantgarde,"$158,000","$23,270 /yr",27-Aug-2019,"1,497 cc","72,000 km",Luxury
Toyota Alphard 2.5A S C-Package Moonroof,"$153,800","$34,560 /yr",28-Aug-2017,"2,493 cc","71,000 km",MPV
Honda Shuttle Hybrid 1.5A,"$125,800","$15,680 /yr",23-Sep-2021,"1,496 cc","32,425 km",Stationwagon
Toyota Prius Alpha Hybrid 1.8A S,"$100,800","$19,750 /yr",29-Jun-2018,"1,797 cc","63,000 km",MPV
Honda Freed Hybrid 1.5A G,"$141,800","$17,370 /yr",14-Sep-2021,"1,496 cc","36,520 km",MPV
Honda Vezel 1.5A X,"$54,800","$15,530 /yr",02-Feb-2017,"1,496 cc",-,SUV
Toyota Hiace 3.0A High Roof (COE till 12/2026),"$51,800","$17,140 /yr",19-Jan-2012,"2,982 cc","194,180 km",Bus
Volkswagen Touran 1.4A TSI Comfortline Sunroof,"$126,688","$16,820 /yr",31-Aug-2020,"1,395 cc","40,000 km",MPV
BMW 1 Series 116d,"$61,800","$15,840 /yr",28-Jun-2017,"1,496 cc","97,000 km",Hatchback
Land Rover Range Rover Sport Diesel 3.0A 7-Seater,"$232,800","$52,910 /yr",24-Feb-2017,"2,993 cc","166,000 km",SUV
BMW X5 LCI Mild Hybrid xDrive40i M Sport,"$418,800","$34,890 /yr",12-Jul-2023,"2,998 cc","7,000 km",MPV
BMW 5 Series 523i (COE till 02/2031),"$101,888","$14,220 /yr",22-Feb-2011,"2,497 cc",-,Luxury
Mercedes-Benz C-Class C180 CGI Avantgarde (New 10-yr COE),"$116,800","$11,670 /yr",06-Feb-2014,"1,595 cc","183,000 km",Luxury
BMW 5 Series 520i,"$69,588","$18,760 /yr",19-May-2016,"1,997 cc","125,000 km",Luxury
Toyota Wish 1.8A (COE till 06/2028),"$56,800","$12,670 /yr",17-Jun-2008,"1,794 cc","155,500 km",MPV
Volkswagen Golf 1.4A TSI Comfortline,"$90,800","$13,920 /yr",17-Oct-2019,"1,395 cc","88,000 km",Hatchback
Toyota Camry 2.0A,"$47,800","$17,210 /yr",13-Nov-2015,"1,998 cc","104,800 km",Luxury
Subaru Forester 2.0i-L Sunroof,"$65,000","$14,830 /yr",30-Nov-2017,"1,995 cc","157,000 km",SUV
Honda City 1.5A SV,"$52,800","$14,100 /yr",03-Apr-2017,"1,497 cc","97,000 km",Sedan
Honda Freed Hybrid 1.5A G Honda Sensing,"$108,800","$17,890 /yr",11-Jul-2019,"1,496 cc","62,000 km",MPV
Tesla Model 3 Electric Performance AWD,"$199,000","$22,190 /yr",16-Sep-2021,-,"25,000 km",Luxury
BMW Z4 sDrive23i (COE till 08/2030),"$95,800","$14,320 /yr",30-Sep-2010,"2,497 cc","92,250 km",Sports
BMW 2 Series 216i Gran Tourer,"$107,800","$18,230 /yr",26-Nov-2018,"1,499 cc","47,800 km",MPV
MINI One 1.5A 5DR,"$163,800","$16,560 /yr",28-Apr-2023,"1,499 cc","5,700 km",Hatchback
Mitsubishi Lancer EX 1.5A GLS (COE till 09/2027),"$45,800","$12,150 /yr",02-Oct-2007,"1,499 cc",-,Sedan
Mercedes-Benz C-Class C200 Coupe Mild Hybrid,"$175,800",N.A,21-Jan-2022,"1,497 cc","42,000 km",Luxury
Toyota Hiace 2.0A DX,"$83,800","$10,680 /yr",29-Oct-2021,"1,998 cc",-,Van
Mercedes-Benz B-Class B180 Style,"$90,800","$16,300 /yr",17-Aug-2018,"1,595 cc","86,500 km",Hatchback
Toyota Hiace Commuter 2.8A GL High Roof,"$151,999","$15,360 /yr",14-Nov-2023,"2,755 cc",-,Bus
Toyota Hiace 3.0M,"$73,800","$12,030 /yr",11-Feb-2020,"2,982 cc","66,300 km",Van
Nissan NV200 1.6A DX,"$67,800","$9,840 /yr",12-Nov-2020,"1,597 cc",-,Van
Toyota Hiace Commuter 3.0A GL,"$68,800","$26,430 /yr",01-Aug-2016,"2,982 cc",-,Bus
Nissan NV350 2.5M,"$35,800","$10,530 /yr",19-May-2017,"2,488 cc","110,000 km",Van
Mercedes-Benz GLE-Class GLE450 Mild Hybrid AMG Line 4MATIC,"$288,800","$37,100 /yr",06-Feb-2020,"2,999 cc","87,088 km",SUV
SEAT Ateca 1.4A TSI Xcellence,"$110,800","$17,300 /yr",29-May-2019,"1,395 cc","22,813 km",SUV
Nissan Qashqai 1.2A DIG-T Premium,"$42,800","$14,220 /yr",05-Jul-2016,"1,197 cc","130,000 km",SUV
Toyota Camry 2.0A,"$57,500","$17,720 /yr",26-Apr-2016,"1,998 cc","67,300 km",Luxury
BYD T3 Electric,"$103,800","$11,200 /yr",31-Mar-2023,-,-,Van
Bentley Continental GT 4.0A V8,"$398,800","$92,010 /yr",30-Sep-2016,"3,993 cc","24,000 km",Sports
Honda N-Van Turbo Style Fun Honda Sensing,"$91,888","$9,930 /yr",23-Mar-2023,658 cc,-,Van
Toyota Wish 1.8A,"$44,800","$15,610 /yr",18-Mar-2016,"1,798 cc",-,MPV
Mercedes-Benz C-Class C200,"$51,000","$33,530 /yr",05-Jan-2015,"1,991 cc","148,577 km",Luxury
Toyota Corolla Altis 1.8A (COE till 09/2028),"$52,000","$10,950 /yr",22-Sep-2008,"1,794 cc","162,000 km",Sedan
Toyota Dyna 150 3.0M,"$85,999","$14,900 /yr",01-Oct-2019,"2,982 cc","129,008 km",Truck
Subaru Forester 2.0i-L Sunroof,"$68,900","$16,480 /yr",29-Sep-2017,"1,995 cc","70,000 km",SUV
Audi Q3 Sportback Mild Hybrid 1.5A TFSI S-tronic,"$206,800","$21,310 /yr",20-Oct-2022,"1,498 cc","15,000 km",SUV
Toyota Dyna 150 2.8M,"$120,999","$12,180 /yr",29-Nov-2023,"2,755 cc",-,Truck
Mercedes-Benz C-Class C200 Avantgarde,"$82,800","$22,780 /yr",29-Aug-2016,"1,991 cc","65,000 km",Luxury
Mazda 2 HB 1.5A R (COE till 12/2027),"$40,800","$10,140 /yr",10-Jan-2008,"1,498 cc","130,000 km",Hatchback
Honda Civic 1.5A VTEC Turbo Sunroof,"$103,800","$17,930 /yr",12-Dec-2018,"1,498 cc","97,480 km",Sedan
Toyota Corolla Altis 1.6A Elegance,"$38,300","$14,880 /yr",23-Nov-2015,"1,598 cc",-,Sedan
Nissan Elgrand 2.5A Highway Star Moonroof,"$134,888","$20,500 /yr",11-Jul-2019,"2,488 cc","87,000 km",MPV
BMW 5 Series 525i XL (COE till 12/2028),"$58,998","$11,880 /yr",10-Dec-2008,"2,497 cc","137,414 km",Luxury
Nissan Sylphy 1.6A,"$30,800","$13,690 /yr",18-Aug-2015,"1,598 cc","87,000 km",Sedan
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo S Sunroof,"$176,800","$20,820 /yr",30-Sep-2021,"1,598 cc","37,000 km",SUV
Mitsubishi Fuso Canter 3.0M,"$53,800","$18,180 /yr",09-Dec-2016,"2,998 cc","98,137 km",Truck
Lotus Emira 3.5A,"$608,000","$53,760 /yr",18-Jul-2023,"3,456 cc","2,300 km",Sports
Nissan NV200 1.5M,"$61,800","$10,800 /yr",13-Sep-2019,"1,461 cc","82,000 km",Van
Toyota Dyna 150 3.0M,"$18,800","$27,890 /yr",27-Aug-2014,"2,982 cc",-,Truck
Mercedes-Benz C-Class C180 Avantgarde,"$77,800","$21,900 /yr",09-Sep-2016,"1,595 cc","108,000 km",Luxury
Mazda 6 2.5A Sunroof,"$56,800","$15,360 /yr",15-Sep-2016,"2,488 cc","125,280 km",Luxury
Nissan NV350 2.5M,"$70,800","$10,500 /yr",21-Sep-2020,"2,488 cc","23,462 km",Van
Peugeot 3008 1.6A EAT6 Allure,"$96,800","$17,440 /yr",02-Aug-2018,"1,598 cc",-,SUV
Nissan NV200 1.6A DX,"$44,800","$13,120 /yr",24-May-2017,"1,597 cc","89,097 km",Van
Toyota Hiace 3.0M DX,"$54,800","$12,920 /yr",21-Mar-2018,"2,982 cc","100,000 km",Van
Volvo S60 T5 R-Design Sunroof,"$145,800","$20,210 /yr",31-Jan-2020,"1,969 cc","80,000 km",Luxury
Toyota Noah Hybrid 1.8A X,"$185,800","$20,780 /yr",09-May-2022,"1,797 cc","18,000 km",MPV
Toyota Rav4 2.4A (COE till 04/2029),"$92,800","$17,330 /yr",25-Aug-2009,"2,362 cc","123,000 km",SUV
Golden Dragon Electric XML5036,"$109,988","$12,460 /yr",21-Oct-2022,-,-,Bus
Suzuki SX4 S-Cross 1.6A Sunroof,"$64,800","$15,870 /yr",24-May-2017,"1,586 cc",-,SUV
Kia Cerato K3 1.6A,"$18,000","$18,200 /yr",23-Sep-2014,"1,591 cc","130,000 km",Sedan
Toyota 86 2.0A High Grade,"$38,800",N.A,18-Jun-2014,"1,998 cc","131,888 km",Sports
Toyota Hiace 3.0M,"$12,800",N.A,20-Feb-2014,"2,982 cc","212,803 km",Van
Honda Jazz 1.5A RS,"$60,800","$15,840 /yr",01-Jun-2017,"1,498 cc","91,000 km",Hatchback
BMW 2 Series 216d Gran Tourer Luxury,"$62,800","$17,670 /yr",18-Oct-2016,"1,496 cc","122,000 km",MPV
Toyota Yaris Cross Hybrid 1.5A Active,"$150,800","$15,420 /yr",27-Apr-2023,"1,490 cc","13,000 km",SUV
Toyota Corolla Altis 1.6A,"$49,800","$16,230 /yr",07-Jun-2016,"1,598 cc","73,985 km",Sedan
BMW M850i Coupe xDrive,"$390,800","$53,380 /yr",02-Sep-2019,"4,395 cc","1,900 km",Sports
Mercedes-Benz A-Class A180,"$43,000","$18,880 /yr",02-Oct-2015,"1,595 cc","70,900 km",Hatchback
Toyota Dyna 150 3.0M,"$76,800","$16,340 /yr",05-Sep-2018,"2,982 cc","83,212 km",Truck
Honda HR-V 1.5A DX,"$89,800","$15,300 /yr",11-Mar-2019,"1,496 cc","58,449 km",SUV
Honda Civic 1.6A VTi,"$65,500","$16,160 /yr",24-May-2017,"1,597 cc","74,000 km",Sedan
Toyota Dyna 150 2.8M,"$104,800","$12,560 /yr",26-Apr-2022,"2,755 cc",-,Truck
Toyota Dyna 150 3.0M  (COE till 12/2028),"$57,800","$11,560 /yr",23-Dec-2013,"2,982 cc",-,Truck
BMW 4 Series 440i Convertible M-Sport,"$172,000","$28,980 /yr",30-Apr-2018,"2,998 cc","91,300 km",Sports
Mercedes-Benz E-Class E200 Coupe,"$149,800","$24,190 /yr",14-Jun-2018,"1,991 cc","33,000 km",Sports
Mercedes-Benz A-Class A180 Style,"$90,800","$18,970 /yr",08-Feb-2018,"1,595 cc","84,300 km",Hatchback
Subaru Forester 2.0i-L Sunroof,"$51,800","$15,810 /yr",23-Sep-2016,"1,995 cc","129,000 km",SUV
Mazda 6 2.0A Executive,"$67,800","$16,580 /yr",20-Jun-2017,"1,998 cc","88,000 km",Luxury
Hyundai Elantra 1.6A,"$38,800","$14,440 /yr",20-Feb-2016,"1,591 cc","130,000 km",Sedan
Toyota Raize 1.0A XS,"$121,000","$13,730 /yr",10-Aug-2022,996 cc,"36,980 km",SUV
Toyota Hiace Commuter 3.0A,"$65,800","$27,420 /yr",19-May-2016,"2,982 cc",-,Bus
Kia Cerato K3 1.6A,"$62,500","$13,770 /yr",07-Feb-2018,"1,591 cc","98,500 km",Sedan
Lexus UX200 Luxury,"$159,000","$20,000 /yr",16-Oct-2020,"1,987 cc","33,800 km",SUV
Mercedes-Benz E-Class E220d AMG Line Premium Plus,"$102,800","$25,370 /yr",09-Dec-2016,"1,950 cc","110,000 km",Luxury
Skoda Karoq 1.5A TSI Ambition,"$96,800","$16,640 /yr",30-Jan-2019,"1,498 cc","99,000 km",SUV
Land Rover Range Rover Evoque 2.0A 5DR,"$101,800","$22,800 /yr",27-Feb-2017,"1,999 cc","80,000 km",SUV
Mazda CX-8 2.5A Luxury 7-Seater,"$169,800","$21,610 /yr",24-Dec-2020,"2,488 cc","61,200 km",SUV
Honda N-Van Turbo Style Fun Honda Sensing,"$85,999","$9,070 /yr",15-Jun-2023,658 cc,-,Van
Lexus IS250 (COE till 05/2027),"$52,800","$15,370 /yr",07-Jun-2007,"2,500 cc",-,Luxury
Suzuki Swift Sport 1.6A,"$54,800","$15,090 /yr",24-Feb-2017,"1,586 cc","85,000 km",Hatchback
Toyota Hiace 3.0M (COE till 02/2027),"$35,800","$11,400 /yr",13-Feb-2007,"2,982 cc",-,Van
Mercedes-Benz GLE-Class GLE450 Mild Hybrid AMG Line 4MATIC,"$292,500","$37,360 /yr",28-Feb-2020,"2,999 cc","45,800 km",SUV
Mercedes-Benz GLC-Class GLC43 AMG 4MATIC,"$340,000","$35,460 /yr",25-Feb-2022,"2,996 cc","2,500 km",SUV
BMW 3 Series 318i M-Sport,"$192,800","$20,320 /yr",24-Feb-2022,"1,998 cc","31,000 km",Luxury
Audi Q2 1.0A TFSI S-tronic,"$118,800","$17,910 /yr",28-Nov-2019,999 cc,"37,471 km",SUV
Volvo XC90 T5 Momentum,"$99,800","$23,310 /yr",19-Aug-2016,"1,969 cc","113,800 km",SUV
Toyota Harrier Turbo 2.0A G Panoramic Roof,"$100,800","$19,860 /yr",30-Dec-2017,"1,998 cc","90,000 km",SUV
BYD T3 Electric,"$109,600","$11,040 /yr",24-Nov-2023,-,-,Van
Mercedes-Benz E-Class E250 Avantgarde,"$138,800","$23,930 /yr",02-Mar-2018,"1,991 cc","118,000 km",Luxury
Toyota Previa 2.4A Aeras Moonroof,"$191,800","$25,000 /yr",04-Nov-2020,"2,362 cc","57,750 km",MPV
Honda Vezel Hybrid 1.5A X Honda Sensing,"$59,500","$15,920 /yr",24-Jul-2017,"1,496 cc","73,600 km",SUV
Porsche Taycan Electric 4S,"$425,800",N.A,N.A.,-,-,Sports
Nissan Kicks e-POWER Hybrid 1.2A Premium Plus,"$138,998","$13,970 /yr",06-Jul-2023,"1,198 cc","5,412 km",SUV
Porsche 911 Carrera 4 Coupe 3.4A PDK (COE till 08/2033),"$369,998","$38,170 /yr",07-Sep-2013,"3,436 cc","49,105 km",Sports
Nissan Qashqai 1.2A DIG-T Premium,"$66,800","$15,470 /yr",27-Oct-2017,"1,197 cc","84,000 km",SUV
Mazda 6 2.0A,"$123,500","$15,840 /yr",08-Feb-2021,"1,998 cc","50,430 km",Luxury
Hyundai Accent 1.4A 5DR,"$33,800","$14,570 /yr",27-Nov-2015,"1,368 cc","131,050 km",Hatchback
Toyota Wish 1.8A X,"$53,800","$18,160 /yr",26-May-2016,"1,797 cc","90,000 km",MPV
Toyota Wish 1.8A,"$59,800","$16,650 /yr",21-Dec-2016,"1,798 cc","79,800 km",MPV
Mazda 8 2.3A Sunroof,"$35,800","$17,350 /yr",19-May-2015,"2,261 cc","127,000 km",MPV
Honda HR-V 1.5A LX,"$78,800","$15,450 /yr",17-May-2018,"1,496 cc","128,580 km",SUV
Honda Vezel 1.5A X Honda Sensing,"$86,800","$15,550 /yr",29-Jan-2019,"1,496 cc","62,465 km",SUV
Nissan NV200 1.5M,"$49,800","$10,430 /yr",02-Oct-2018,"1,461 cc","70,000 km",Van
Kia Stonic Mild Hybrid 1.0A Sunroof,"$105,800","$13,610 /yr",21-Jul-2021,998 cc,"38,800 km",SUV
Opel Astra 1.0A Turbo (OPC),"$49,888","$11,990 /yr",07-Dec-2017,999 cc,"56,000 km",Hatchback
Mazda 5 2.0A Sunroof,"$59,800","$16,690 /yr",21-Dec-2016,"1,998 cc","98,000 km",MPV
MG HS 1.5A Turbo Panoramic Roof,"$118,800","$16,420 /yr",27-Jul-2020,"1,490 cc","78,000 km",SUV
Honda Jazz 1.5A RS,"$39,888","$14,010 /yr",03-Jun-2016,"1,498 cc","95,000 km",Hatchback
Mercedes-Benz E-Class E200 Avantgarde,"$98,800","$23,580 /yr",10-Oct-2016,"1,991 cc","116,000 km",Luxury
Mazda 3 1.5A,"$51,800","$14,100 /yr",26-Apr-2017,"1,496 cc","90,000 km",Sedan
Toyota Sienta Hybrid 1.5A X,"$127,800","$15,860 /yr",01-Sep-2021,"1,496 cc","37,000 km",MPV
Kia Carens Diesel 1.7A SX,"$52,888","$15,510 /yr",20-Oct-2016,"1,685 cc","135,000 km",MPV
Subaru Forester 2.0A X (COE till 12/2028),"$67,000","$13,490 /yr",11-Dec-2008,"1,994 cc","145,000 km",SUV
Toyota Wish 1.8A,"$57,800","$16,530 /yr",15-Nov-2016,"1,798 cc","77,323 km",MPV
Nissan Qashqai 1.2A DIG-T,"$41,900","$13,270 /yr",15-Aug-2016,"1,197 cc","93,200 km",SUV
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$65,800","$18,770 /yr",31-Oct-2016,"1,997 cc",-,SUV
Toyota Dyna 150 3.0M (New 5-yr COE),"$51,800","$10,350 /yr",27-Aug-2008,"2,982 cc","174,860 km",Truck
Nissan Note 1.2A,"$39,800","$13,080 /yr",31-Oct-2016,"1,198 cc","78,000 km",Hatchback
Subaru XV 1.6i-S,"$47,000","$16,060 /yr",31-May-2016,"1,600 cc","159,000 km",SUV
MINI One 1.6A (COE till 08/2031),"$72,800","$9,510 /yr",18-Aug-2011,"1,598 cc","89,088 km",Hatchback
Audi A4 1.8A TFSI MU,"$22,999",N.A,30-May-2014,"1,798 cc",-,Luxury
Mercedes-Benz C-Class Plug-in Hybrid C300e AMG Line,"$215,000","$25,300 /yr",18-Mar-2021,"1,991 cc","21,900 km",Luxury
Audi A1 Sportback 1.0A TFSI S-tronic,"$64,500","$16,100 /yr",22-Sep-2017,999 cc,"61,730 km",Hatchback
Jaguar XE Diesel 2.0A Prestige,"$58,800","$17,330 /yr",15-Jun-2016,"1,999 cc","106,850 km",Luxury
Volkswagen Jetta Sport 1.4A TSI (COE till 12/2025),"$28,800","$14,240 /yr",01-May-2011,"1,390 cc","144,000 km",Sedan
Audi Q3 Sportback Mild Hybrid 1.5A TFSI S-tronic,"$217,800","$22,820 /yr",09-Sep-2022,"1,498 cc","5,150 km",SUV
Mercedes-Benz C-Class C180 Avantgarde,"$118,000","$21,780 /yr",17-May-2018,"1,595 cc","88,200 km",Luxury
Mercedes-Benz S-Class S320L,"$238,000","$33,520 /yr",11-Jan-2019,"2,996 cc","65,400 km",Luxury
Nissan Qashqai 1.2A DIG-T Premium,"$34,800","$14,310 /yr",10-Dec-2015,"1,197 cc",-,SUV
BMW 5 Series 520i Luxury,"$159,800","$22,430 /yr",28-Aug-2019,"1,998 cc","72,000 km",Luxury
